0	libel	codeINSEE	2011-3 à 5 ans-Insee RP (compl	2011-F -3 à 5 ans-Insee RP (compl 	2011-G -3 à 5 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 5 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 5 ans-Insee RP (compl 	2011-G   scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans  scolarisé-Insee RP (compl 	2011-F -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 5 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-6 à 10 ans-Insee RP (compl,	2011-F,-6 à 10 ans-Insee RP (compl,	2011-G,-6 à 10 ans-Insee RP (compl,	2011-F, Non scolarisée-6 à 10 ans-Insee RP (compl,	2011-G, Non scolarisé-6 à 10 ans-Insee RP (compl,	2011-6 à 10 ans Non scolarisé-Insee RP (compl,	2011-F,  scolarisée-6 à 10 ans-Insee RP (compl,	2011-G,  scolarisé-6 à 10 ans-Insee RP (compl,	2011-6 à 10 ans  scolarisé-Insee RP (compl,	2011-F -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-6 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-3 à 10 ans-Insee RP (compl 	2011-F -3 à 10 ans-Insee RP (compl 	2011-G -3 à 10 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 10 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 10 ans-Insee RP (compl 	2011-G   scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans  scolarisé-Insee RP (compl 	2011-F -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2012 - Pop couverte 0-19ans - CPAM Trait  ARS	2012 - CMUC 0-19ans - CPAM Trait  ARS	2012 - Pop couverte 0-4ans - CPAM Trait  ARS	2012 - CMUC 0-4ans - CPAM Trait  ARS	2012 - Pop couverte 5-9ans - CPAM Trait  ARS	2012 - CMUC 5-9ans - CPAM Trait  ARS	2012 - Pop couverte 10-14ans - CPAM Trait  ARS	2012 - CMUC 10-14ans - CPAM Trait  ARS	2012 - Pop couverte 15-19ans - CPAM Trait  ARS	2012 - CMUC 15-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-19ans - CPAM Trait  ARS	2011 - CMUC 0-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-4ans - CPAM Trait  ARS	2011 - CMUC 0-4ans - CPAM Trait  ARS	2011 - Pop couverte 5-9ans - CPAM Trait  ARS	2011 - CMUC 5-9ans - CPAM Trait  ARS	2011 - Pop couverte 10-14ans - CPAM Trait  ARS	2011 - CMUC 10-14ans - CPAM Trait  ARS	2011 - Pop couverte 15-19ans - CPAM Trait  ARS	2011 - CMUC 15-19ans - CPAM Trait  ARS	Constante100	2012 - Pop couverte 0-14ans - CPAM Trait  ARS	2012 - CMUC 0-14ans - CPAM Trait  ARS	2011- 15-17 ans X Infra DNB-Insee RP 2011 (compl,	2011- 15-17 ans X DNB-Insee RP 2011 (compl,	2011- 15-17 ans X CAP BEP-Insee RP 2011 (compl,	2011- 15-17 ans X Bac ou équiv,-Insee RP 2011 (compl,	2011- 15-17 ans X Supérieur-Insee RP 2011 (compl,	2011- 15-17 ans X Total-Insee RP 2011 (compl,	2011- 2-16 ans dont Réft mén, Infra DNB Insee RP (compl,	2011- 2-16 ans dont Réft mén, DNB Insee RP (compl,	2011- 2-16 ans dont Réft mén, CAP BEP Insee RP (compl,	2011- 2-16 ans dont Réft mén, Bac ou Equiv, Insee RP (compl,	2011- 2-16 ans dont Réft mén, Dipl, supérieur Insee RP (compl,	2011- 2-16 ans dont Réft mén, Hors famille Insee RP (compl,	2011- 2-16 ans dont Réft mén, Total Insee RP (compl,	0
166	LA_GRIVIERE	693890501	37	14	23	-99999	4	4	14	19	33	-99999	4	4	99	58	42	-99999	-99999	-99999	58	42	99	7	4	11	136	72	65	-99999	4	4	72	61	132	7	8	15	301	97	78	23	73	28	78	24	72	22	295	89	71	21	74	23	75	22	75	23	100	229	75	14	33	4	-99999	-99999	51	21	7	102	34	76	-99999	239	0
167	CHAMPVERT_NORD	693890502	120	62	58	4	17	21	58	41	99	14	14	29	154	58	96	-99999	-99999	-99999	58	96	154	23	28	52	274	120	154	4	17	21	116	137	253	37	42	81	508	63	155	11	129	19	126	17	98	16	517	59	165	14	119	17	130	15	103	13	100	410	47	35	69	12	4	-99999	120	154	30	52	91	204	-99999	531	0
168	BALMONT_LE_FORT	693890601	47	22	25	10	1	11	11	25	36	8	12	21	83	39	45	-99999	-99999	-99999	39	45	83	17	20	36	130	61	70	10	1	11	50	70	119	25	32	57	438	194	128	64	112	51	102	37	96	42	368	189	108	67	91	44	85	40	84	38	100	342	152	18	39	1	-99999	1	59	105	32	67	11	46	-99999	260	0
169	LE_CHATEAU	693890602	117	51	66	-99999	5	5	51	61	112	13	36	49	77	35	42	6	-99999	6	29	42	70	11	29	40	194	86	108	6	5	11	80	103	182	24	65	89	681	256	230	88	185	71	156	51	110	46	643	258	205	99	178	67	142	40	118	52	100	571	210	18	16	13	5	-99999	52	133	6	105	35	45	14	339	0
170	LE_PLATEAU	693890603	108	34	74	1	6	7	33	68	101	19	32	51	130	54	75	-99999	1	1	54	75	129	27	38	65	238	88	149	1	7	8	87	143	230	46	70	116	307	96	92	26	103	36	61	19	51	15	324	122	94	37	97	41	73	29	60	15	100	256	81	25	13	8	-99999	-99999	47	202	3	75	40	73	1	394	0
171	LA_SAUVEGARDE	693890604	153	78	74	12	10	22	66	64	130	37	40	77	261	142	119	1	-99999	1	141	119	260	91	47	138	414	220	193	13	10	23	207	183	390	128	87	215	675	358	227	130	180	104	144	70	124	54	695	350	234	131	170	93	142	70	149	56	100	551	304	53	52	11	4	8	127	376	26	187	80	72	12	753	0
172	PETITE_GUILLE	693880901	127	55	72	7	10	17	48	63	111	6	31	37	173	80	93	1	8	9	79	85	164	22	17	39	300	135	165	8	18	26	127	148	275	28	48	76	605	94	203	34	181	32	120	8	101	20	567	83	211	35	146	25	117	6	93	17	100	504	74	25	49	-99999	2	-99999	77	122	5	80	104	192	-99999	503	0
173	MARIUS_BERLIET_NORD	693880104	107	58	49	4	4	8	54	44	98	-99999	9	9	170	88	82	-99999	4	4	88	78	166	5	5	10	277	146	131	4	8	12	142	122	264	5	14	19	16	4	5	1	5	-99999	5	2	1	1	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	100	15	3	7	41	-99999	-99999	-99999	48	48	7	71	68	310	9	512	0
174	MARIUS_BERLIET_SUD	693880105	202	100	102	13	12	25	87	90	177	24	33	57	182	88	94	-99999	7	7	88	87	175	21	14	35	384	188	196	13	19	32	175	177	352	45	47	92	145	35	65	9	42	14	20	7	18	5	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	100	127	30	21	63	3	7	1	96	137	60	113	111	224	1	645	0
175	MONPLAISIR_SUD	693880204	73	37	36	4	3	8	32	33	65	5	1	6	127	62	65	-99999	-99999	-99999	62	65	127	6	6	11	200	99	101	4	3	8	94	98	192	11	7	17	7	-99999	2	-99999	4	-99999	1	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	100	7	-99999	22	39	-99999	8	5	74	34	31	35	72	242	-99999	414	0
176	MONPLAISIR_NORD	693880203	75	30	45	-99999	9	9	30	36	66	5	7	11	98	39	59	1	1	2	38	58	96	4	3	8	173	69	104	1	10	11	68	94	162	9	10	19	15	-99999	9	-99999	4	-99999	-99999	-99999	2	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	100	13	-99999	-99999	37	-99999	11	-99999	48	20	11	34	31	211	-99999	307	0
177	JEAN_JAURES_SUD	693870704	86	43	42	6	8	13	38	34	72	7	1	8	79	30	49	-99999	-99999	-99999	30	49	79	-99999	7	7	165	73	91	6	8	13	68	83	151	7	8	15	22	1	12	1	5	-99999	2	-99999	3	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	100	19	1	19	31	-99999	2	-99999	53	45	11	47	60	126	16	305	0
178	CHAMBOVET-PINEL	693830902	60	14	46	3	4	7	11	42	53	-99999	3	3	105	58	46	-99999	-99999	-99999	58	46	105	-99999	-99999	-99999	165	72	92	3	4	7	69	88	158	-99999	3	3	336	54	78	23	95	16	88	6	75	9	348	43	87	18	91	14	85	8	85	3	100	261	45	19	73	3	3	3	102	30	6	11	29	267	14	356	0
179	LA_MOUCHE-LE_PORT	693870901	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	1	-99999	-99999	-99999	1	-99999	-99999	-99999	-99999	-99999	1	-99999	-99999	-99999	1	-99999	-99999	-99999	-99999	-99999	100	1	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0
180	MONTAGNY-SAINT_JEAN_DE_DIEU	693880903	189	98	91	-99999	9	9	98	82	181	28	27	55	191	90	102	-99999	-99999	-99999	90	102	191	18	25	43	380	188	193	-99999	9	9	188	184	372	46	52	98	1004	347	299	104	275	103	227	73	203	67	1002	343	304	112	270	96	228	72	200	63	100	801	280	65	86	8	-99999	-99999	159	203	24	235	136	166	12	776	0
181	DANTON-BIR_AKEIM	693830302	249	113	136	10	15	26	103	121	224	20	11	31	286	157	129	3	4	7	154	125	279	36	31	67	535	270	265	13	19	33	257	246	503	56	42	98	1186	135	442	39	292	43	259	32	193	21	1074	135	410	50	255	40	249	28	160	17	100	993	114	39	121	20	12	-99999	193	223	23	120	136	493	1	996	0
182	MONCHAT-BONNAND	693830703	134	70	64	3	3	7	67	61	128	8	6	14	159	97	61	-99999	-99999	-99999	97	61	159	6	3	9	293	167	125	3	3	7	164	122	287	14	9	23	497	26	154	8	121	12	136	4	86	2	463	40	138	11	122	14	129	11	74	4	100	411	24	18	70	13	7	-99999	108	37	2	64	42	381	-99999	526	0
183	JEAN_JAURES_NORD	693870705	58	32	27	8	5	13	24	22	45	15	-99999	15	74	32	42	7	14	21	25	28	54	10	22	32	132	64	69	15	19	34	49	50	99	25	22	47	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	100	-99999	-99999	18	16	-99999	15	1	50	62	10	28	29	88	-99999	216	0
184	YVES_FARGES	693870601	183	78	105	5	2	7	73	103	176	26	30	56	218	93	125	-99999	1	1	93	124	216	22	22	43	401	171	230	5	3	8	166	227	392	48	52	99	672	111	262	28	198	43	123	24	89	16	506	74	195	19	128	20	95	16	88	19	100	583	95	34	63	-99999	9	4	109	152	22	120	109	231	2	636	0
185	L'ARTILLERIE-LA_GARE	693870701	50	28	23	1	3	4	27	20	46	6	1	7	58	28	30	-99999	1	1	28	29	57	8	4	12	108	56	53	1	4	5	55	49	103	14	5	19	174	29	83	10	50	9	25	8	16	2	183	26	91	12	44	5	24	6	24	3	100	158	27	10	-99999	-99999	-99999	1	11	34	16	11	22	80	24	186	0
186	9eme_Arr	69389	1964	899	1065	77	823	899	118	947	1065	225	227	452	2682	1288	1394	32	1256	1288	24	1369	1394	393	386	779	4646	2188	2458	109	2079	2188	142	2316	2458	618	612	1231	511	191	164	42	117	48	125	58	105	43	85	6	44	-99999	15	1	12	2	14	3	100	406	148	393	799	70	117	12	1390	2261	277	1767	1237	2588	80	8211	0
187	8eme_Arr	69388	3138	1520	1618	149	1371	1520	186	1432	1618	367	392	759	4138	2088	2050	50	2039	2088	53	1997	2050	451	460	910	7276	3608	3669	198	3410	3608	239	3429	3669	818	851	1670	442	84	169	39	112	16	94	18	67	11	51	11	20	4	14	2	12	2	5	3	100	375	73	623	1291	123	83	7	2126	3000	500	2825	1868	4358	159	12709	0
188	7eme_Arr	69387	2214	1083	1132	111	971	1083	103	1028	1132	192	181	374	3137	1460	1677	24	1437	1460	35	1642	1677	254	286	540	5351	2543	2809	135	2408	2543	138	2671	2809	447	467	914	460	169	210	71	104	31	70	28	76	39	29	8	14	3	9	3	3	2	3	-99999	100	384	130	478	1023	94	59	15	1670	1732	305	1456	1401	4349	281	9525	0
189	6eme_Arr	69386	1390	708	682	49	659	708	72	609	682	43	55	98	2235	1073	1161	16	1057	1073	26	1135	1161	82	54	136	3624	1782	1843	65	1716	1782	98	1745	1843	125	109	234	129	26	43	9	29	7	26	4	31	6	30	7	7	1	11	4	4	1	8	1	100	98	20	239	1051	132	29	3	1453	467	154	540	650	5139	21	6971	0
190	5eme_Arr	69385	1347	634	713	43	591	634	53	660	713	78	104	182	2128	1028	1100	14	1015	1028	13	1087	1100	153	173	326	3475	1663	1812	57	1606	1663	66	1747	1812	231	277	508	114	1	29	-99999	31	1	29	-99999	25	-99999	10	1	1	-99999	3	1	5	-99999	1	-99999	100	89	1	312	966	70	65	12	1424	975	245	1044	974	3376	104	6717	0
191	4eme_Arr	69384	1230	622	609	24	597	622	58	551	609	45	48	93	1910	965	945	17	947	965	13	932	945	79	69	148	3140	1586	1553	42	1545	1586	71	1482	1553	124	117	241	122	21	42	11	35	5	23	2	22	3	5	-99999	1	-99999	4	-99999	-99999	-99999	-99999	-99999	100	100	18	209	766	62	17	1	1055	497	149	584	721	3660	103	5715	0
192	3eme_Arr	69383	3074	1550	1524	117	1432	1550	153	1371	1524	184	154	337	4494	2258	2236	31	2226	2258	33	2203	2236	314	301	614	7568	3807	3761	148	3659	3807	186	3574	3761	497	454	952	323	86	117	26	80	15	54	13	72	32	4	-99999	-99999	-99999	-99999	-99999	4	-99999	-99999	-99999	100	251	54	533	1741	177	104	22	2578	1898	439	1886	1983	7642	70	13918	0
193	2eme_Arr	69382	838	417	420	30	388	417	44	376	420	36	34	70	1322	638	684	4	634	638	8	675	684	46	71	117	2159	1056	1104	34	1022	1056	52	1051	1104	82	105	187	149	55	62	26	38	15	27	7	22	7	1	-99999	1	-99999	-99999	-99999	-99999	-99999	-99999	-99999	100	127	48	175	593	81	23	3	876	407	152	397	518	2585	101	4161	0
194	1er_Arr	69381	902	428	474	28	400	428	25	449	474	40	53	93	1250	612	638	15	598	612	12	626	638	81	68	149	2153	1041	1112	43	998	1041	37	1075	1112	121	121	242	35	5	11	2	9	-99999	7	-99999	8	3	5	-99999	-99999	-99999	1	-99999	2	-99999	2	-99999	100	27	2	166	480	56	24	6	732	520	99	420	463	2372	29	3904	0
195	Lyon	69123	16097	7861	8236	628	7233	7861	812	7424	8236	1210	1248	2458	23296	11412	11884	202	11209	11412	218	11667	11884	1853	1867	3720	39393	19272	20120	830	18442	19272	1030	19091	20120	3063	3115	6178	80826	13691	26197	4440	21152	3876	18444	2886	15033	2489	80033	13140	26372	4291	20376	3662	18184	2727	15101	2460	100	65793	11202	3129	8711	865	521	79	13305	11756	2320	10920	9815	36070	949	71832	0
196	Lyon	99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0
197	ensemble	0	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	0
198	libel	codeINSEE	2011-3 à 5 ans-Insee RP (compl	2011-F -3 à 5 ans-Insee RP (compl 	2011-G -3 à 5 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 5 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 5 ans-Insee RP (compl 	2011-G   scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans  scolarisé-Insee RP (compl 	2011-F -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 5 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-6 à 10 ans-Insee RP (compl.	2011-F.-6 à 10 ans-Insee RP (compl.	2011-G.-6 à 10 ans-Insee RP (compl.	2011-F. Non scolarisée-6 à 10 ans-Insee RP (compl.	2011-G. Non scolarisé-6 à 10 ans-Insee RP (compl.	2011-6 à 10 ans Non scolarisé-Insee RP (compl.	2011-F.  scolarisée-6 à 10 ans-Insee RP (compl.	2011-G.  scolarisé-6 à 10 ans-Insee RP (compl.	2011-6 à 10 ans  scolarisé-Insee RP (compl.	2011-F -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-6 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-3 à 10 ans-Insee RP (compl 	2011-F -3 à 10 ans-Insee RP (compl 	2011-G -3 à 10 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 10 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 10 ans-Insee RP (compl 	2011-G   scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans  scolarisé-Insee RP (compl 	2011-F -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2012 - Pop couverte 0-19ans - CPAM Trait  ARS	2012 - CMUC 0-19ans - CPAM Trait  ARS	2012 - Pop couverte 0-4ans - CPAM Trait  ARS	2012 - CMUC 0-4ans - CPAM Trait  ARS	2012 - Pop couverte 5-9ans - CPAM Trait  ARS	2012 - CMUC 5-9ans - CPAM Trait  ARS	2012 - Pop couverte 10-14ans - CPAM Trait  ARS	2012 - CMUC 10-14ans - CPAM Trait  ARS	2012 - Pop couverte 15-19ans - CPAM Trait  ARS	2012 - CMUC 15-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-19ans - CPAM Trait  ARS	2011 - CMUC 0-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-4ans - CPAM Trait  ARS	2011 - CMUC 0-4ans - CPAM Trait  ARS	2011 - Pop couverte 5-9ans - CPAM Trait  ARS	2011 - CMUC 5-9ans - CPAM Trait  ARS	2011 - Pop couverte 10-14ans - CPAM Trait  ARS	2011 - CMUC 10-14ans - CPAM Trait  ARS	2011 - Pop couverte 15-19ans - CPAM Trait  ARS	2011 - CMUC 15-19ans - CPAM Trait  ARS	Constante 100	2012 - Pop couverte 0-14ans - CPAM Trait  ARS	2012 - CMUC 0-14ans - CPAM Trait  ARS	2011- 15-17 ans X Infra DNB-Insee RP 2011 (compl.	2011- 15-17 ans X DNB-Insee RP 2011 (compl.	2011- 15-17 ans X CAP BEP-Insee RP 2011 (compl.	2011- 15-17 ans X Bac ou équiv.-Insee RP 2011 (compl.	2011- 15-17 ans X Supérieur-Insee RP 2011 (compl.	2011- 15-17 ans X Total-Insee RP 2011 (compl.	2011- 2-16 ans dont Réft mén. Infra DNB Insee RP (compl.	2011- 2-16 ans dont Réft mén. DNB Insee RP (compl.	2011- 2-16 ans dont Réft mén. CAP BEP Insee RP (compl.	2011- 2-16 ans dont Réft mén. Bac ou Equiv. Insee RP (compl.	2011- 2-16 ans dont Réft mén. Dipl. supérieur Insee RP (compl.	2011- 2-16 ans dont Réft mén. Hors famille Insee RP (compl.	2011- 2-16 ans dont Réft mén. Total Insee RP (compl.	0
199	-99999	-99999	2011-3 à 5 ans-Insee RP (compl	2011-F -3 à 5 ans-Insee RP (compl 	2011-G -3 à 5 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 5 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 5 ans-Insee RP (compl 	2011-G   scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans  scolarisé-Insee RP (compl 	2011-F -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 5 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-6 à 10 ans-Insee RP (compl.	2011-F.-6 à 10 ans-Insee RP (compl.	2011-G.-6 à 10 ans-Insee RP (compl.	2011-F. Non scolarisée-6 à 10 ans-Insee RP (compl.	2011-G. Non scolarisé-6 à 10 ans-Insee RP (compl.	2011-6 à 10 ans Non scolarisé-Insee RP (compl.	2011-F.  scolarisée-6 à 10 ans-Insee RP (compl.	2011-G.  scolarisé-6 à 10 ans-Insee RP (compl.	2011-6 à 10 ans  scolarisé-Insee RP (compl.	2011-F -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-6 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-3 à 10 ans-Insee RP (compl 	2011-F -3 à 10 ans-Insee RP (compl 	2011-G -3 à 10 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 10 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 10 ans-Insee RP (compl 	2011-G   scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans  scolarisé-Insee RP (compl 	2011-F -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2012 - Pop couverte 0-19ans - CPAM Trait  ARS	2012 - CMUC 0-19ans - CPAM Trait  ARS	2012 - Pop couverte 0-4ans - CPAM Trait  ARS	2012 - CMUC 0-4ans - CPAM Trait  ARS	2012 - Pop couverte 5-9ans - CPAM Trait  ARS	2012 - CMUC 5-9ans - CPAM Trait  ARS	2012 - Pop couverte 10-14ans - CPAM Trait  ARS	2012 - CMUC 10-14ans - CPAM Trait  ARS	2012 - Pop couverte 15-19ans - CPAM Trait  ARS	2012 - CMUC 15-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-19ans - CPAM Trait  ARS	2011 - CMUC 0-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-4ans - CPAM Trait  ARS	2011 - CMUC 0-4ans - CPAM Trait  ARS	2011 - Pop couverte 5-9ans - CPAM Trait  ARS	2011 - CMUC 5-9ans - CPAM Trait  ARS	2011 - Pop couverte 10-14ans - CPAM Trait  ARS	2011 - CMUC 10-14ans - CPAM Trait  ARS	2011 - Pop couverte 15-19ans - CPAM Trait  ARS	2011 - CMUC 15-19ans - CPAM Trait  ARS	Constante 100	2012 - Pop couverte 0-14ans - CPAM Trait  ARS	2012 - CMUC 0-14ans - CPAM Trait  ARS	2011- 15-17 ans X Infra DNB-Insee RP 2011 (compl.	2011- 15-17 ans X DNB-Insee RP 2011 (compl.	2011- 15-17 ans X CAP BEP-Insee RP 2011 (compl.	2011- 15-17 ans X Bac ou équiv.-Insee RP 2011 (compl.	2011- 15-17 ans X Supérieur-Insee RP 2011 (compl.	2011- 15-17 ans X Total-Insee RP 2011 (compl.	2011- 2-16 ans dont Réft mén. Infra DNB Insee RP (compl.	2011- 2-16 ans dont Réft mén. DNB Insee RP (compl.	2011- 2-16 ans dont Réft mén. CAP BEP Insee RP (compl.	2011- 2-16 ans dont Réft mén. Bac ou Equiv. Insee RP (compl.	2011- 2-16 ans dont Réft mén. Dipl. supérieur Insee RP (compl.	2011- 2-16 ans dont Réft mén. Hors famille Insee RP (compl.	2011- 2-16 ans dont Réft mén. Total Insee RP (compl.	0
200	-99999	-99999	Insee Fichier détail (compl	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl.	Insee Fichier détail (compl.	Insee Fichier détail (compl.	Insee Fichier détail (compl.	Insee Fichier détail (compl.	Insee Fichier détail (compl.	Insee Fichier détail (compl.	Insee Fichier détail (compl.	Insee Fichier détail (compl.	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	Insee Fichier détail (compl 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	CPAM trait ARS 	N	CPAM trait ARS 	CPAM trait ARS 	INSEE	INSEE	INSEE	INSEE	INSEE	INSEE	INSEE RP (compl	INSEE RP (compl	INSEE RP (compl	INSEE RP (compl	INSEE RP (compl	INSEE RP (compl	INSEE RP (compl	0
201	-99999	-99999	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	N	2012	2012	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	2011	0
